<<<<<<< HEAD
"StepwiseID","Algorithm","RemovedFeature","MeanAccuracy"
0,"SVM",NA,0.655738705738706
0,"RF",NA,0.689779202279202
0,"GBM",NA,0.6496336996337
0,"XGBL",NA,0.687942612942613
0,"XGBT",NA,0.680469067969068
0,"Stack",NA,0.704660154660155
1,"SVM","Pos291_AAIndex_DIGM050101_max",0.673590761090761
1,"SVM","Pos293_AAIndex_WILM950104_max",0.641849816849817
1,"SVM","Pos315_AAIndex_KARP850102_min",0.681232193732194
1,"SVM","Pos340_AAIndex_BHAR880101_median",0.617958892958893
1,"SVM","Pos343_AAIndex_ROSM880102_mean",0.681679894179894
1,"SVM","Pos344_AAIndex_CHAM820101_mean",0.656201668701669
1,"SVM","Pos347_AAIndex_EISD860102_min",0.64757326007326
1,"RF","Pos291_AAIndex_DIGM050101_max",0.638410663410663
1,"RF","Pos293_AAIndex_WILM950104_max",0.727706552706553
1,"RF","Pos315_AAIndex_KARP850102_min",0.685582010582011
1,"RF","Pos340_AAIndex_BHAR880101_median",0.674206349206349
1,"RF","Pos343_AAIndex_ROSM880102_mean",0.678256003256003
1,"RF","Pos344_AAIndex_CHAM820101_mean",0.720533170533171
1,"RF","Pos347_AAIndex_EISD860102_min",0.706115181115181
1,"GBM","Pos291_AAIndex_DIGM050101_max",0.683516483516484
1,"GBM","Pos293_AAIndex_WILM950104_max",0.643218355718356
1,"GBM","Pos315_AAIndex_KARP850102_min",0.649023199023199
1,"GBM","Pos340_AAIndex_BHAR880101_median",0.663756613756614
1,"GBM","Pos343_AAIndex_ROSM880102_mean",0.633597883597884
1,"GBM","Pos344_AAIndex_CHAM820101_mean",0.70252849002849
1,"GBM","Pos347_AAIndex_EISD860102_min",0.659157509157509
1,"XGBL","Pos291_AAIndex_DIGM050101_max",0.677330077330077
1,"XGBL","Pos293_AAIndex_WILM950104_max",0.720762108262108
1,"XGBL","Pos315_AAIndex_KARP850102_min",0.624984737484737
1,"XGBL","Pos340_AAIndex_BHAR880101_median",0.677035002035002
1,"XGBL","Pos343_AAIndex_ROSM880102_mean",0.630937118437118
1,"XGBL","Pos344_AAIndex_CHAM820101_mean",0.698026048026048
1,"XGBL","Pos347_AAIndex_EISD860102_min",0.683511396011396
1,"XGBT","Pos291_AAIndex_DIGM050101_max",0.663212250712251
1,"XGBT","Pos293_AAIndex_WILM950104_max",0.661161986161986
1,"XGBT","Pos315_AAIndex_KARP850102_min",0.602085877085877
1,"XGBT","Pos340_AAIndex_BHAR880101_median",0.654746642246642
1,"XGBT","Pos343_AAIndex_ROSM880102_mean",0.680387667887668
1,"XGBT","Pos344_AAIndex_CHAM820101_mean",0.720762108262108
